d|Bootcamp location,latitude,longitude,period,website
"Grahamstown, South Africa",-33.3,26.526667,"September 5-7, 2012",https://sites.google.com/site/databootcampsa/
"Accra, Ghana",5.55,-0.2,"October 24-26, 2012",https://sites.google.com/site/databootcampnairobi/
"Juba, South Sudan",4.85,31.6,"February 6-8, 2013",http://southsudan.dbootcamp.org/
"Amman, Jordan",31.9552,35.945,"April 21-22, 2013",http://jordan.dbootcamp.org/
"Nairobi, Kenya",-1.292066,36.821946,"January 25-27, 2012",-
"Accra, Ghana",5.55,-0.2,"May 27-29, 2013",http://ghana.dbootcamp.org/
"La Paz, Bolivia",-16.5,-68.15,"June 12-14, 2013",http://bolivia.dbootcamp.org/
"Lilongwe, Malawi",-13.9833,33.7833,"June 12-14, 2013",http://malawi.dbootcamp.org/
"Tunis, Tunisia",36.819,10.1658,"November 13-14, 2012",http://tunisia.dbootcamp.org/
"Abuja, Nigeria",9.0667,7.4833,"January 30 - 31, 2014",http://dclinic.dbootcamp.org/
"Montevideo, Uruguay",-34.9033,-56.1882,"March 12-14, 2014",http://uruguay.dbootcamp.org/
"Kathmandu, Nepal",28.3948,84.124,"April 28-29, 2014",http://nepal.dbootcamp.org/
"Delhi, India",28.6519,77.2315,"September 5-7, 2014",http://delhi.dbootcamp.org/
"Mexico City, Mexico",19.4326,99.1332,"September 28-29, 2014",http://mexico.dbootcamp.org/
"Singapore City, Singapore",1.2801,103.8509,"October 26-27, 2014",http://singapore.dbootcamp.org/
"Nairobi, Kenya",-1.292,36.8219,"November 26-29, 2014",http://nairobi.dbootcamp.org/
"Washington DC, USA",38.8951,-77.0364,"February 20-21, 2015",http://washington.dbootcamp.org/
"Dar es Salaam, Tanzania",-6.8,39.283333,"October 18-20, 2012",https://sites.google.com/site/databootcamptz/
"Kampala, Uganda",0.3136,32.5811,"February 25-27, 2015",http://kampala.dbootcamp.org/
"Karachi, Pakistan",24.8614,67.0099,"May 7 -9, 2015",http://karachi.dbootcamp.org/
"Taipei, Taiwan",25.0478,121.5319,"August 21-23, 2015",http://taipei.dbootcamp.org/
"Buenos Aires, Argentina",-34.6036,-58.3815,"July 9, 2015",http://www.meetup.com/es/HacksHackersBA/events/223151751/
"Chisinau, Moldova",47,28.916667,"May 16-18, 2012",http://moldova.dbootcamp.org/
"Lima, Peru",-12.0463,-77.0428,"July 18, 2015",http://www.meetup.com/es/Hacks-Hackers-Lima/events/223320424/
"Santiago, Chile",-33.4378,-70.6504,"July 11, 2015",http://www.meetup.com/HacksHackersChile/events/223332027/
"Sao Paolo, Brazil",-23.5505,-46.6333,"July 25, 2015",http://www.meetup.com/Hacks-Hackers-Sao-Paulo/events/223493725/?_locale=es
"Bogota, Colombia",4.7109,-74.072,"August 3, 2015",http://www.meetup.com/es/Hacks-Hackers-Bogota/events/223756342/
"Mexico DF, Mexico",19.2464,-99.1013,"August 1, 2015",http://www.meetup.com/es/HacksHackersMexicoCity/events/223695175/
